if_fault_id,fault_no,status,occurrence_time,occurrence_place,train_no,train_type_desc,car_no,railway,report_position,cause_class,org_id,fault_level,fault_brief,configuration_location,intuitive_fault_object,intuitive_fault_object_id,intuitive_fault_object_desc,intuitive_fault_pattern,intuitive_fault_pattern_id,intuitive_fault_pattern_desc,reconnect_location,occurrence_time,occurrence_place,accident_level,responsibility_class,running_way,falut_environment,main_responsibility,other_responsibility,car_trips,accumulated_mileage,fault_result,start_late,end_late,fault_desc,fault_order_type,report_time,processing_date,processing_result,special_fault,safety_supervisio_fault,in_repair,startup_fault_analysis,report_person,report_part,contact_tel,real_fault_object,real_fault_object_id,real_other_fault_object_desc,real_fault_pattern,real_fault_pattern_id,real_other_fault_pattern_desc,fault_cause,other_fault_cause_desc,solution,other_solution,fault_property,diagnostic_time,initial_cause_analysis,final_cause_analysis,replace_parts,repair_location,debugging_time,total_repair_counts,repair_time,total_downtime,repair_property,initial_treatment_measures,final_treatment_measures,important_info_no,closed_loop_time
,,,,从江至榕江区间,,E12:2544,,,,,,,,,,,,部件裂纹/破裂/松动/脱落,,,,,从江至榕江区间,,,黄冈东-北京西,,,,G1957/60,,,,,,,,,,,,,,,,,,,,部件裂纹/破裂/松动/脱落,,,,,更换驱动连杆,,,,,,,,,,,,,,,,
,,,,北京西-广州南,,E12:2545,,,,,,,,,,,,缺氟,,,,,北京西-广州南,,,厦门北-天津,,,,D1914次,,,,,,,,,,,,,,,,,,,,缺氟,,,,,贴膜或油漆处理,,,,,,,,,,,,,,,,
,,,,热备时,,E12:2546,,,,,,,,,,,,动叶卡滞,,,,,热备时,,,合肥南-温州南,,,,C8608,,,,,,,,,,,,,,,,,,,,动叶卡滞,,,,,将锁芯清洁、喷油润滑,,,,,,,,,,,,,,,,
,,,,耒阳西至郴州西,,E12:2547,,,,,,,,,,,,锁芯卡滞,,,,,耒阳西至郴州西,,,武汉—赤壁,,,,D352,,,,,,,,,,,,,,,,,,,,锁芯卡滞,,,,,更换电源板,,,,,,,,,,,,,,,,
,,,,杭州东-玉山南,,E12:2548,,,,,,,,,,,,超差,,,,,杭州东-玉山南,,,九江-深圳北,,,,C2006,,,,,,,,,,,,,,,,,,,,超差,,,,,更新脚踏，并优化制造工艺,,,,,,,,,,,,,,,,
,,,,莆田至福州,,E12:2549,,,,,,,,,,,,7230板卡故障,,,,,莆田至福州,,,广州南-信阳东,,,,0041次,,,,,,,,,,,,,,,,,,,,7230板卡故障,,,,,优化软件,,,,,,,,,,,,,,,,
,,,,黑山北站,,E12:2550,,,,,,,,,,,,编导线断股,,,,,黑山北站,,,乌鲁木齐-兰州西,,,,G834/1,,,,,,,,,,,,,,,,,,,,编导线断股,,,,,更换ADD膜片,,,,,,,,,,,,,,,,
,,,,西安北-华山北,,E12:2551,,,,,,,,,,,,动作不到位/卡滞,,,,,西安北-华山北,,,兰州西-西安北,,,,D3004,,,,,,,,,,,,,,,,,,,,动作不到位/卡滞,,,,,检查无异常，维持运行,,,,,,,,,,,,,,,,
,,,,深圳北动车所,,E12:2552,,,,,,,,,,,,滑轮卡滞,,,,,深圳北动车所,,,0D3853,,,,C8601,,,,,,,,,,,,,,,,,,,,滑轮卡滞,,,,,疏通堵塞管路或更换,,,,,,,,,,,,,,,,
,,,,三江至贵阳东站间,,E12:2553,,,,,,,,,,,,无法打开,,,,,三江至贵阳东站间,,,即墨-昆明南,,,,G552,,,,,,,,,,,,,,,,,,,,无法打开,,,,,重新紧固信号线,,,,,,,,,,,,,,,,
,,,,诏安至潮汕区间,,E12:2554,,,,,,,,,,,,踏面清扫装置不缓解,,,,,诏安至潮汕区间,,,上海虹桥−太原南,,,,G822,,,,,,,,,,,,,,,,,,,,踏面清扫装置不缓解,,,,,优化电路,,,,,,,,,,,,,,,,
,,,,兰州西所,,E12:2555,,,,,,,,,,,,密封失效,,,,,兰州西所,,,D3710次,,,,D2569,,,,,,,,,,,,,,,,,,,,密封失效,,,,,调节驱动气缸活塞杆锁紧螺母,,,,,,,,,,,,,,,,
,,,,叶榭站,,E12:2556,,,,,,,,,,,,风机异常（139/358...）,,,,,叶榭站,,,南宁东-上海虹桥,,,,G1128,,,,,,,,,,,,,,,,,,,,风机异常（139/358...）,,,,,更换头罩开闭电磁阀,,,,,,,,,,,,,,,,
,,,,福州-连江,,E12:2557,,,,,,,,,,,,墙板角脱开,,,,,福州-连江,,,广州南-南宁东-北海,,,,G9062,,,,,,,,,,,,,,,,,,,,墙板角脱开,,,,,更换流量开关,,,,,,,,,,,,,,,,
,,,,庐山,,E12:2558,,,,,,,,,,,,失稳,,,,,庐山,,,北京南-成都东,,,,G6405,,,,,,,,,,,,,,,,,,,,失稳,,,,,调节限位开关,,,,,,,,,,,,,,,,
,,,,重庆西-广州南,,E12:2559,,,,,,,,,,,,桌板脱落,,,,,重庆西-广州南,,,上海-安庆,,,,DJ55711,,,,,,,,,,,,,,,,,,,,桌板脱落,,,,,打磨修复,,,,,,,,,,,,,,,,
,,,,北京西所,,E12:2560,,,,,,,,,,,,开焊,,,,,北京西所,,,北海-南宁东,,,,G7586次,,,,,,,,,,,,,,,,,,,,开焊,,,,,重新紧固接线,,,,,,,,,,,,,,,,
,,,,港湾至青岛站,,E12:2561,,,,,,,,,,,,润滑油不足,,,,,港湾至青岛站,,,珠海-成都东,,,,D3718,,,,,,,,,,,,,,,,,,,,润滑油不足,,,,,更换连接器拉环,,,,,,,,,,,,,,,,
,,,,信阳站,,E12:2562,,,,,,,,,,,,脱胶,,,,,信阳站,,,郑州东-广州南,,,,G68次,,,,,,,,,,,,,,,,,,,,脱胶,,,,,更换车号显示器,,,,,,,,,,,,,,,,
,,,,太原南,,E12:2563,,,,,,,,,,,,插头松动,,,,,太原南,,,南昌西—武汉,,,,D5362次,,,,,,,,,,,,,,,,,,,,插头松动,,,,,清扫回风滤网,,,,,,,,,,,,,,,,
,,,,重庆北站,,E12:2564,,,,,,,,,,,,脱漆/破损,,,,,重庆北站,,,北京南13:00-合肥南16:44,,,,G1521,,,,,,,,,,,,,,,,,,,,脱漆/破损,,,,,更换LED筒灯,,,,,,,,,,,,,,,,
,,,,路试途中,,E12:2565,,,,,,,,,,,,防暴膜卷起/缺失,,,,,路试途中,,,福田08:16-北京西17:01,,,,G531,,,,,,,,,,,,,,,,,,,,防暴膜卷起/缺失,,,,,对空压机进行保养,,,,,,,,,,,,,,,,
,,,,镇江南站,,E12:2566,,,,,,,,,,,,备份控制器故障,,,,,镇江南站,,,福州南-杭州东,,,,G557,,,,,,,,,,,,,,,,,,,,备份控制器故障,,,,,更换启动电容,,,,,,,,,,,,,,,,
,,,,合肥南动车会所,,E12:2567,,,,,,,,,,,,未关闭到位,,,,,合肥南动车会所,,,万州北-重庆北,,,,28,,,,,,,,,,,,,,,,,,,,未关闭到位,,,,,更换填充物,,,,,,,,,,,,,,,,
,,,,昆明南-贵阳北,,E12:2568,,,,,,,,,,,,无法调节方向,,,,,昆明南-贵阳北,,,昆明-富宁,,,,G7,,,,,,,,,,,,,,,,,,,,无法调节方向,,,,,更换播放板,,,,,,,,,,,,,,,,
,,,,岳阳东站,,E12:2569,,,,,,,,,,,,座椅塌陷,,,,,岳阳东站,,,北京南-商丘,,,,D2276/7,,,,,,,,,,,,,,,,,,,,座椅塌陷,,,,,紧固喉箍,,,,,,,,,,,,,,,,
,,,,宁波,,E12:2570,,,,,,,,,,,,撒砂管脱落,,,,,宁波,,,圳北09：30-武汉14：16,,,,G1952,,,,,,,,,,,,,,,,,,,,撒砂管脱落,,,,,更换网关模块,,,,,,,,,,,,,,,,
,,,,烟台南站至威海北站,,E12:2571,,,,,,,,,,,,动作异常,,,,,烟台南站至威海北站,,,北京西10:33-广州南20:16,,,,G6704,,,,,,,,,,,,,,,,,,,,动作异常,,,,,更换GPS信号板数据处理芯片,,,,,,,,,,,,,,,,
,,,,大理站,,E12:2572,,,,,,,,,,,,按键无反应,,,,,大理站,,,贵阳北-开阳,,,,D2284,,,,,,,,,,,,,,,,,,,,按键无反应,,,,,重新调整复位弹簧,,,,,,,,,,,,,,,,
,,,,兰州西动车所检修库,,E12:2573,,,,,,,,,,,,隔音材脱出,,,,,兰州西动车所检修库,,,南宁东16:42—北海18:12,,,,D5133,,,,,,,,,,,,,,,,,,,,隔音材脱出,,,,,规范操作,,,,,,,,,,,,,,,,
,,,,秦皇岛站,,E12:2574,,,,,,,,,,,,限位开关卡滞/失效,,,,,秦皇岛站,,,试运行交路,,,,G1318次,,,,,,,,,,,,,,,,,,,,限位开关卡滞/失效,,,,,更换改进后的四角锁芯,,,,,,,,,,,,,,,,
,,,,济南-章丘区间,,E12:2575,,,,,,,,,,,,无法打到正常位,,,,,济南-章丘区间,,,新郑机场-宋城路,,,,G7207,,,,,,,,,,,,,,,,,,,,无法打到正常位,,,,,修补腻子,,,,,,,,,,,,,,,,
,,,,巢湖东至合肥南区间,,E12:2576,,,,,,,,,,,,导轨变形,,,,,巢湖东至合肥南区间,,,G1664,,,,G1402,,,,,,,,,,,,,,,,,,,,导轨变形,,,,,重新安装紧固松动部件或部位,,,,,,,,,,,,,,,,
,,,,车墩至叶榭,,E12:2577,,,,,,,,,,,,排出管温度异常(346/347/354/355),,,,,车墩至叶榭,,,广州南-柳州,,,,D5215,,,,,,,,,,,,,,,,,,,,排出管温度异常(346/347/354/355),,,,,取出异物后重新紧固快速接头,,,,,,,,,,,,,,,,
,,,,淄博站进站前,,E12:2578,,,,,,,,,,,,管卡处断裂,,,,,淄博站进站前,,,怀化南-衡阳东,,,,D2880次,,,,,,,,,,,,,,,,,,,,管卡处断裂,,,,,临时打磨后喷漆处理。根据四技工（2015）临字第8431号通知，结合高级修会彻底处理。,,,,,,,,,,,,,,,,
,,,,佛山西至郁南区间,,E12:2579,,,,,,,,,,,,防跳轮松动,,,,,佛山西至郁南区间,,,虎门-深圳北,,,,0D3145,,,,,,,,,,,,,,,,,,,,防跳轮松动,,,,,按照要求重新操作,,,,,,,,,,,,,,,,
,,,,安亭北线路所,,E12:2580,,,,,,,,,,,,图像闪烁,,,,,安亭北线路所,,,南宁东-济南西,,,,D3306,,,,,,,,,,,,,,,,,,,,图像闪烁,,,,,清理风机叶片,,,,,,,,,,,,,,,,
,,,,郑州东-石家庄区间,,E12:2581,,,,,,,,,,,,GPS模块故障,,,,,郑州东-石家庄区间,,,昆明南-上海虹桥,,,,D3956,,,,,,,,,,,,,,,,,,,,GPS模块故障,,,,,重新紧固、压接,,,,,,,,,,,,,,,,
,,,,广州南-武汉,,E12:2582,,,,,,,,,,,,164故障-三次侧接地,,,,,广州南-武汉,,,南京南-重庆北,,,,D8516,,,,,,,,,,,,,,,,,,,,164故障-三次侧接地,,,,,紧固安装螺栓,,,,,,,,,,,,,,,,
,,,,洛阳龙门至郑州东,,E12:2583,,,,,,,,,,,,画面变形,,,,,洛阳龙门至郑州东,,,广州南11:12—北海17:26,,,,S102,,,,,,,,,,,,,,,,,,,,画面变形,,,,,更换损坏的密封垫,,,,,,,,,,,,,,,,
,,,,南京南-上海虹桥,,E12:2584,,,,,,,,,,,,隔离锁弹片调整不良,,,,,南京南-上海虹桥,,,西安北-徐州,,,,G832/3,,,,,,,,,,,,,,,,,,,,隔离锁弹片调整不良,,,,,紧固松脱部件,,,,,,,,,,,,,,,,
,,,,明港东-驻马店西,,E12:2585,,,,,,,,,,,,接线断裂,,,,,明港东-驻马店西,,,南昌西-兰州西,,,,C2029,,,,,,,,,,,,,,,,,,,,接线断裂,,,,,恢复紧急开门阀,,,,,,,,,,,,,,,,
,,,,肇庆东-贺州,,E12:2586,,,,,,,,,,,,脱出,,,,,肇庆东-贺州,,,乌鲁木齐南至兰州西,,,,D2823,,,,,,,,,,,,,,,,,,,,脱出,,,,,紧固松动螺栓,,,,,,,,,,,,,,,,
,,,,正定机场-石家庄,,E12:2587,,,,,,,,,,,,云台灯不亮,,,,,正定机场-石家庄,,,温州南-济南东,,,,乌鲁木齐-兰州西,,,,,,,,,,,,,,,,,,,,云台灯不亮,,,,,更换电流传感器,,,,,,,,,,,,,,,,
,,,,太原南-介休东,,E12:2588,,,,,,,,,,,,油脂外溢,,,,,太原南-介休东,,,宜昌东-杭州东,,,,D6538,,,,,,,,,,,,,,,,,,,,油脂外溢,,,,,擦拭脏污,,,,,,,,,,,,,,,,
,,,,福州站,,E12:2589,,,,,,,,,,,,伸出不到位,,,,,福州站,,,武汉-赤壁,,,,G517,,,,,,,,,,,,,,,,,,,,伸出不到位,,,,,更换压缩机减震垫,,,,,,,,,,,,,,,,
,,,,徐州东至枣庄区间,,E12:2590,,,,,,,,,,,,踏面清扫装置不动作,,,,,徐州东至枣庄区间,,,广州南-贵阳北交路,,,,G5318次,,,,,,,,,,,,,,,,,,,,踏面清扫装置不动作,,,,,更换点式信息接收单元,,,,,,,,,,,,,,,,
,,,,蚌埠南站,,E12:2591,,,,,,,,,,,,控制装置失效,,,,,蚌埠南站,,,G7420,,,,C6309,,,,,,,,,,,,,,,,,,,,控制装置失效,,,,,更换橡胶,,,,,,,,,,,,,,,,
,,,,槐荫-孝感东区间,,E12:2592,,,,,,,,,,,,162故障-一次侧过流,,,,,槐荫-孝感东区间,,,G404,,,,G555,,,,,,,,,,,,,,,,,,,,162故障-一次侧过流,,,,,更换便器罩,,,,,,,,,,,,,,,,
,,,,长沙南-香港西九龙,,E12:2593,,,,,,,,,,,,机柜故障,,,,,长沙南-香港西九龙,,,南京南-南昌,,,,D3291,,,,,,,,,,,,,,,,,,,,机柜故障,,,,,更换阀芯,,,,,,,,,,,,,,,,
,,,,佛山城际所,,E12:2594,,,,,,,,,,,,输出单元故障,,,,,佛山城际所,,,漯河西-深圳北,,,,D2711,,,,,,,,,,,,,,,,,,,,输出单元故障,,,,,更新阀板,,,,,,,,,,,,,,,,
,,,,桂林西-三江南,,E12:2595,,,,,,,,,,,,积尘,,,,,桂林西-三江南,,,D6378,,,,G671,,,,,,,,,,,,,,,,,,,,积尘,,,,,调整安装,,,,,,,,,,,,,,,,
,,,,洞口-隆回区间,,E12:2596,,,,,,,,,,,,不制热,,,,,洞口-隆回区间,,,济南-青岛,,,,G1695,,,,,,,,,,,,,,,,,,,,不制热,,,,,修复调整紧固安装座,,,,,,,,,,,,,,,,
,,,,虹桥存车线,,E12:2597,,,,,,,,,,,,CVCF异常,,,,,虹桥存车线,,,北京西-永济北,,,,D3396,,,,,,,,,,,,,,,,,,,,CVCF异常,,,,,更换螺栓安装座,,,,,,,,,,,,,,,,
,,,,定州东站至正定机场站间,,E12:2598,,,,,,,,,,,,微动开关动作不良,,,,,定州东站至正定机场站间,,,福州-汉口,,,,G562,,,,,,,,,,,,,,,,,,,,微动开关动作不良,,,,,超限，更换轮对,,,,,,,,,,,,,,,,
,,,,株洲南-大丰,,E12:2599,,,,,,,,,,,,传输网络故障,,,,,株洲南-大丰,,,凯里南-贵阳北交路,,,,G195次,,,,,,,,,,,,,,,,,,,,传输网络故障,,,,,调节斜门支架紧固螺钉,,,,,,,,,,,,,,,,
,,,,北海,,E12:2600,,,,,,,,,,,,耳机无法插入,,,,,北海,,,上海-龙岩,,,,D3274/1,,,,,,,,,,,,,,,,,,,,耳机无法插入,,,,,重新调整开门到位开关滚轮安装座的位置,,,,,,,,,,,,,,,,
,,,,宿州东至淮南东区间,,E12:2601,,,,,,,,,,,,部件脱落,,,,,宿州东至淮南东区间,,,北京西-深圳北,,,,G1683,,,,,,,,,,,,,,,,,,,,部件脱落,,,,,更换辅助锁,,,,,,,,,,,,,,,,
,,,,衢州站,,E12:2602,,,,,,,,,,,,FM天线盒裂纹,,,,,衢州站,,,肇庆-佛山西,,,,D3830次,,,,,,,,,,,,,,,,,,,,FM天线盒裂纹,,,,,更换定位销并润滑,,,,,,,,,,,,,,,,
,,,,瑞金-于都,,E12:2603,,,,,,,,,,,,电蚀/电痕,,,,,瑞金-于都,,,沈阳西-朝阳,,,,D3846,,,,,,,,,,,,,,,,,,,,电蚀/电痕,,,,,调试滑轮紧固处理,,,,,,,,,,,,,,,,
,,,,邢台东站,,E12:2604,,,,,,,,,,,,234故障-辅助电源装置控制电源异常,,,,,邢台东站,,,新郑机场-焦作城际场,,,,G2968,,,,,,,,,,,,,,,,,,,,234故障-辅助电源装置控制电源异常,,,,,更换裙板,,,,,,,,,,,,,,,,
,,,,郑州东-广州南,,E12:2605,,,,,,,,,,,,排水孔有异物,,,,,郑州东-广州南,,,长沙-石门北,,,,D6004,,,,,,,,,,,,,,,,,,,,排水孔有异物,,,,,调整压紧装置位置,,,,,,,,,,,,,,,,
,,,,新乡东-郑州东,,E12:2606,,,,,,,,,,,,注油口油溢出,,,,,新乡东-郑州东,,,兰州西-嘉峪关,,,,G308,,,,,,,,,,,,,,,,,,,,注油口油溢出,,,,,更新按钮，优化结构,,,,,,,,,,,,,,,,
,,,,专运中心动车库内,,E12:2607,,,,,,,,,,,,折断,,,,,专运中心动车库内,,,G6,,,,G6012,,,,,,,,,,,,,,,,,,,,折断,,,,,更换增压缸,,,,,,,,,,,,,,,,
,,,,肥东-巢北,,E12:2608,,,,,,,,,,,,排障器破损,,,,,肥东-巢北,,,厦门北所-厦门北站,,,,G642,,,,,,,,,,,,,,,,,,,,排障器破损,,,,,重新调整车钩调整螺栓,,,,,,,,,,,,,,,,
,,,,武汉动车 所,,E12:2609,,,,,,,,,,,,一键调节功能失效,,,,,武汉动车 所,,,深圳北-衡阳东,,,,G2358次,,,,,,,,,,,,,,,,,,,,一键调节功能失效,,,,,更换螺栓,,,,,,,,,,,,,,,,
,,,,福州南服务站,,E12:2610,,,,,,,,,,,,云台无法调节,,,,,福州南服务站,,,西安北-太原,,,,D2276,,,,,,,,,,,,,,,,,,,,云台无法调节,,,,,对145线端子进行更换压接,,,,,,,,,,,,,,,,
,,,,岳阳东-长沙,,E12:2611,,,,,,,,,,,,拉绳转轴松动/脱落,,,,,岳阳东-长沙,,,南宁东11:38-桂林14:28,,,,G1311,,,,,,,,,,,,,,,,,,,,拉绳转轴松动/脱落,,,,,对门上方压紧缸处增加垫片,,,,,,,,,,,,,,,,
,,,,郑州站,,E12:2612,,,,,,,,,,,,推送气缸漏气,,,,,郑州站,,,上海虹桥-襄阳东,,,,G663,,,,,,,,,,,,,,,,,,,,推送气缸漏气,,,,,清扫叶轮灰尘,,,,,,,,,,,,,,,,
,,,,诏安-漳州,,E12:2613,,,,,,,,,,,,滑块脱落,,,,,诏安-漳州,,,厦门-南昌西,,,,G1686次,,,,,,,,,,,,,,,,,,,,滑块脱落,,,,,更换绝缘子，并优化组装工艺,,,,,,,,,,,,,,,,
,,,,驻马店西-漯河西,,E12:2614,,,,,,,,,,,,氟过量,,,,,驻马店西-漯河西,,,汉口10:16-厦门北18:01,,,,D939,,,,,,,,,,,,,,,,,,,,氟过量,,,,,调整紧固松动部件,,,,,,,,,,,,,,,,
,,,,贵阳北动车所停车线,,E12:2615,,,,,,,,,,,,划痕,,,,,贵阳北动车所停车线,,,商丘-北京西,,,,0D287次,,,,,,,,,,,,,,,,,,,,划痕,,,,,重新调整、紧固,,,,,,,,,,,,,,,,
,,,,汨罗东-武汉,,E12:2616,,,,,,,,,,,,频率异常,,,,,汨罗东-武汉,,,广州-肇庆,,,,北京西-南昌西,,,,,,,,,,,,,,,,,,,,频率异常,,,,,更换扬声器,,,,,,,,,,,,,,,,
,,,,泉州站,,E12:2617,,,,,,,,,,,,接头破裂,,,,,泉州站,,,金山-上海南,,,,G611次,,,,,,,,,,,,,,,,,,,,接头破裂,,,,,清理水垢/污物,,,,,,,,,,,,,,,,
,,,,莆田-泉州区间,,E12:2618,,,,,,,,,,,,视窗玻璃裂纹,,,,,莆田-泉州区间,,,回库途中,,,,G232/229,,,,,,,,,,,,,,,,,,,,视窗玻璃裂纹,,,,,对脱焊线重新焊接,,,,,,,,,,,,,,,,
,,,,虹桥动车所,,E12:2619,,,,,,,,,,,,输出不稳定,,,,,虹桥动车所,,,杭州东-合肥南,,,,D2325,,,,,,,,,,,,,,,,,,,,输出不稳定,,,,,清理后维持现状,,,,,,,,,,,,,,,,
,,,,庐山-共青城区间,,E12:2620,,,,,,,,,,,,部件氧化/变色,,,,,庐山-共青城区间,,,杭州东-福州,,,,C2971,,,,,,,,,,,,,,,,,,,,部件氧化/变色,,,,,更换靠背固定螺栓,,,,,,,,,,,,,,,,
,,,,保定东到正定机场区间,,E12:2621,,,,,,,,,,,,滤网脏堵,,,,,保定东到正定机场区间,,,宁波-重庆北,,,,G620,,,,,,,,,,,,,,,,,,,,滤网脏堵,,,,,更换头枕,,,,,,,,,,,,,,,,
,,,,合肥南-济南西,,E12:2622,,,,,,,,,,,,014故障-电机过流(MMOC2),,,,,合肥南-济南西,,,广州南14:28-黄冈东20:40,,,,G669,,,,,,,,,,,,,,,,,,,,014故障-电机过流(MMOC2),,,,,重新涂抹腻子或密封胶,,,,,,,,,,,,,,,,
,,,,上海虹桥-厦门北,,E12:2623,,,,,,,,,,,,快排阀异常排气,,,,,上海虹桥-厦门北,,,汉口-襄阳,,,,D2244,,,,,,,,,,,,,,,,,,,,快排阀异常排气,,,,,更换问题开关,,,,,,,,,,,,,,,,
,,,,广州南-兰州西,,E12:2624,,,,,,,,,,,,变频调速器故障,,,,,广州南-兰州西,,,G6107,,,,G1682,,,,,,,,,,,,,,,,,,,,变频调速器故障,,,,,更换速度传感器,,,,,,,,,,,,,,,,
,,,,天津南-北京南,,E12:2625,,,,,,,,,,,,水量不足,,,,,天津南-北京南,,,海虹桥-武昌,,,,G1028,,,,,,,,,,,,,,,,,,,,水量不足,,,,,更换便器,,,,,,,,,,,,,,,,
,,,,六安-麻城北,,E12:2626,,,,,,,,,,,,油位低,,,,,六安-麻城北,,,青岛--北京南,,,,G2306次,,,,,,,,,,,,,,,,,,,,油位低,,,,,更换红外感应开关,,,,,,,,,,,,,,,,
,,,,武汉-赤壁北,,E12:2627,,,,,,,,,,,,防松标记缺失,,,,,武汉-赤壁北,,,上海南-金山卫,,,,D6529,,,,,,,,,,,,,,,,,,,,防松标记缺失,,,,,紧固松动部件或补充配件,,,,,,,,,,,,,,,,
,,,,北京西-天津,,E12:2628,,,,,,,,,,,,旋钮故障,,,,,北京西-天津,,,济南东-龙口,,,,南京南-南昌西,,,,,,,,,,,,,,,,,,,,旋钮故障,,,,,紧固旋转拉锁,,,,,,,,,,,,,,,,
,,,,九江,,E12:2629,,,,,,,,,,,,部件脱出/错位/破损,,,,,九江,,,（昆明南-珠海）交路,,,,D5586,,,,,,,,,,,,,,,,,,,,部件脱出/错位/破损,,,,,清除液位开关表面污垢,,,,,,,,,,,,,,,,
,,,,昆明南-曲靖北,,E12:2630,,,,,,,,,,,,高度超限,,,,,昆明南-曲靖北,,,珠海8:15-广州南9:33,,,,D5666,,,,,,,,,,,,,,,,,,,,高度超限,,,,,重新喷漆,,,,,,,,,,,,,,,,
,,,,武胜至南充北,,E12:2631,,,,,,,,,,,,节目不全,,,,,武胜至南充北,,,福州-郑州,,,,G6744,,,,,,,,,,,,,,,,,,,,节目不全,,,,,调整频闪灯时间设置,,,,,,,,,,,,,,,,
,,,,徐州东存车场,,E12:2632,,,,,,,,,,,,变色,,,,,徐州东存车场,,,D6812,,,,G1511,,,,,,,,,,,,,,,,,,,,变色,,,,,紧固防调轮,,,,,,,,,,,,,,,,
,,,,株洲西站进站前,,E12:2633,,,,,,,,,,,,无法按下,,,,,株洲西站进站前,,,兰州-中川,,,,D2963,,,,,,,,,,,,,,,,,,,,无法按下,,,,,更换润滑油、油滤、空滤等,,,,,,,,,,,,,,,,
,,,,金华-玉山南,,E12:2634,,,,,,,,,,,,丝扣松动,,,,,金华-玉山南,,,西宁-西安北,,,,DJ8841次,,,,,,,,,,,,,,,,,,,,丝扣松动,,,,,更换通信板,,,,,,,,,,,,,,,,
,,,,郑州西站-中原区间,,E12:2635,,,,,,,,,,,,插入不到位,,,,,郑州西站-中原区间,,,新晃西-广州南,,,,D2194,,,,,,,,,,,,,,,,,,,,插入不到位,,,,,更换墙板,,,,,,,,,,,,,,,,
,,,,沧州西-北京南,,E12:2636,,,,,,,,,,,,老化,,,,,沧州西-北京南,,,昆明南—上海虹桥,,,,D1902,,,,,,,,,,,,,,,,,,,,老化,,,,,更换裂纹部件,,,,,,,,,,,,,,,,
,,,,西安北-郑州,,E12:2637,,,,,,,,,,,,滑轮破损,,,,,西安北-郑州,,,G243,,,,G7138,,,,,,,,,,,,,,,,,,,,滑轮破损,,,,,更换闸片,,,,,,,,,,,,,,,,
,,,,漯河西-郑州东区间,,E12:2638,,,,,,,,,,,,部件松动/脱落/干涉,,,,,漯河西-郑州东区间,,,贵阳北-深圳北交路,,,,D3147,,,,,,,,,,,,,,,,,,,,部件松动/脱落/干涉,,,,,更换刮雨器出水管,,,,,,,,,,,,,,,,
,,,,试验途中,,E12:2639,,,,,,,,,,,,变形/裂纹,,,,,试验途中,,,武汉-太原,,,,C2082,,,,,,,,,,,,,,,,,,,,变形/裂纹,,,,,更换工控机,,,,,,,,,,,,,,,,
,,,,试验运行途中,,E12:2640,,,,,,,,,,,,功能不良,,,,,试验运行途中,,,G2332/3,,,,G533,,,,,,,,,,,,,,,,,,,,功能不良,,,,,紧固滑轮,,,,,,,,,,,,,,,,
,,,,台州至雁荡山,,E27:2641,,,,,,,,,,,,阻塞,,,,,台州至雁荡山,,,厦门-萍乡北,,,,福田-北京西,,,,,,,,,,,,,,,,,,,,阻塞,,,,,不影响气密性可维持运行,,,,,,,,,,,,,,,,
,,,,民乐西至张掖区间,,E27:2642,,,,,,,,,,,,部件松动脱落,,,,,民乐西至张掖区间,,,北京南21:16-上海09:09,,,,D2349,,,,,,,,,,,,,,,,,,,,部件松动脱落,,,,,更换变形部件,,,,,,,,,,,,,,,,
,,,,长沙南-郴州西,,E27:2643,,,,,,,,,,,,029故障-再生制动失效(RBF),,,,,长沙南-郴州西,,,商丘-北京南,,,,G4,,,,,,,,,,,,,,,,,,,,029故障-再生制动失效(RBF),,,,,更换机顶盒,,,,,,,,,,,,,,,,
,,,,杨凌南站,,E27:2644,,,,,,,,,,,,零部件裂纹/断裂,,,,,杨凌南站,,,南京南-宜昌东,,,,D5317次,,,,,,,,,,,,,,,,,,,,零部件裂纹/断裂,,,,,更新闸刀,,,,,,,,,,,,,,,,
,,,,长沙南-北京西区间,,E27:2645,,,,,,,,,,,,CF卡故障,,,,,长沙南-北京西区间,,,郑州15：41-焦作16：27,,,,D5307,,,,,,,,,,,,,,,,,,,,CF卡故障,,,,,更换电视,,,,,,,,,,,,,,,,
,,,,深圳北动车所站,,E27:2646,,,,,,,,,,,,油浑浊,,,,,深圳北动车所站,,,武夷山东-上海虹桥,,,,D1812/09次,,,,,,,,,,,,,,,,,,,,油浑浊,,,,,更换密封件,,,,,,,,,,,,,,,,
,,,,株洲南站,,E27:2647,,,,,,,,,,,,频繁跳闸,,,,,株洲南站,,,北京西-香港西九龙,,,,G187,,,,,,,,,,,,,,,,,,,,频繁跳闸,,,,,调整开门到位开关动作量,,,,,,,,,,,,,,,,
,,,,汉口,,E27:2648,,,,,,,,,,,,未达到指定温度就闭合,,,,,汉口,,,南昌西-衢州,,,,G491,,,,,,,,,,,,,,,,,,,,未达到指定温度就闭合,,,,,更换固定销,,,,,,,,,,,,,,,,
,,,,正定机场至石家庄区间,,E27:2649,,,,,,,,,,,,无输出信号,,,,,正定机场至石家庄区间,,,济南西-西安北,,,,G2948,,,,,,,,,,,,,,,,,,,,无输出信号,,,,,更换止动弹簧,,,,,,,,,,,,,,,,
,,,,建始站,,E27:2650,,,,,,,,,,,,密封失效/漏雨,,,,,建始站,,,济南-枣庄,,,,D5984,,,,,,,,,,,,,,,,,,,,密封失效/漏雨,,,,,更换通信模块,,,,,,,,,,,,,,,,
